127.0.0.1 - - [03/Mar/2017:00:08:31 +0100] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [03/Mar/2017:00:08:32 +0100] "GET /mietu.de/index.html HTTP/1.1" 200 13136
0:0:0:0:0:0:0:1 - - [03/Mar/2017:00:08:32 +0100] "GET /mietu.de/js/jquery.js HTTP/1.1" 200 95785
0:0:0:0:0:0:0:1 - - [03/Mar/2017:00:08:32 +0100] "GET /mietu.de/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [03/Mar/2017:00:08:32 +0100] "GET /mietu.de/css/modern-business.css HTTP/1.1" 200 1413
0:0:0:0:0:0:0:1 - - [03/Mar/2017:00:08:32 +0100] "GET /mietu.de/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 21984
0:0:0:0:0:0:0:1 - - [03/Mar/2017:00:08:32 +0100] "GET /mietu.de/font-awesome/fonts/fontawesome-webfont.woff?v=4.2.0 HTTP/1.1" 200 65452
0:0:0:0:0:0:0:1 - - [03/Mar/2017:00:08:32 +0100] "GET /mietu.de/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [03/Mar/2017:23:43:51 +0100] "GET /mietu.de/ HTTP/1.1" 200 13109
0:0:0:0:0:0:0:1 - - [03/Mar/2017:23:43:51 +0100] "GET /mietu.de/css/modern-business.css HTTP/1.1" 200 1413
0:0:0:0:0:0:0:1 - - [03/Mar/2017:23:43:51 +0100] "GET /mietu.de/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [03/Mar/2017:23:43:51 +0100] "GET /mietu.de/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 21984
0:0:0:0:0:0:0:1 - - [03/Mar/2017:23:43:51 +0100] "GET /mietu.de/js/jquery.js HTTP/1.1" 200 95785
0:0:0:0:0:0:0:1 - - [03/Mar/2017:23:43:51 +0100] "GET /mietu.de/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [03/Mar/2017:23:43:51 +0100] "GET /mietu.de/font-awesome/fonts/fontawesome-webfont.woff?v=4.2.0 HTTP/1.1" 200 65452
0:0:0:0:0:0:0:1 - - [03/Mar/2017:23:43:51 +0100] "GET /mietu.de/image/Background_1 HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [03/Mar/2017:23:44:45 +0100] "GET /mietu.de/ HTTP/1.1" 200 13115
0:0:0:0:0:0:0:1 - - [03/Mar/2017:23:44:46 +0100] "GET /mietu.de/image/Background_1.jpg HTTP/1.1" 200 158481
0:0:0:0:0:0:0:1 - - [03/Mar/2017:23:53:40 +0100] "GET /mietu.de/ HTTP/1.1" 200 13115
0:0:0:0:0:0:0:1 - - [03/Mar/2017:23:53:40 +0100] "GET /mietu.de/image/Background_1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2017:23:53:53 +0100] "GET /mietu.de/ HTTP/1.1" 200 13115
0:0:0:0:0:0:0:1 - - [03/Mar/2017:23:58:44 +0100] "GET /mietu.de/css/bootstrap.min.css.map HTTP/1.1" 404 1062
